           1   1000.0000000000000       0.14092269593658716        0.0000000000000000        0.0000000000000000     
           2   1000.0000000000000        227899998722.24738        24000000.000000000        0.0000000000000000     
           3   1000.0000000000000        57899980201.412651        47362000.000000000        0.0000000000000000     
           4   1000.0000000000000        107999994309.78752        35000000.000000000        0.0000000000000000     
           5   1000.0000000000000        149598020034.26285        29780000.000000000        0.0000000000000000     
           6   1000.0000000000000        777999999890.38696        13070000.000000000        0.0000000000000000     
           7   1000.0000000000000        1432999999967.5315        9680000.0000000000        0.0000000000000000     
           8   1000.0000000000000        2874999999991.9478        6800000.0000000000        0.0000000000000000     
           9   1000.0000000000000        4499999999996.7148        5430000.0000000000        0.0000000000000000     
           1   1001000.0000000000        140736.61896442159        3578.6091766776390        0.0000000000000000     
           2   1001000.0000000000        226622127558.77661        23979163115.162861        0.0000000000000000     
           3   1001000.0000000000        39128013914.183060        42161787549.894730        0.0000000000000000     
           4   1001000.0000000000        102353595169.40445        34423448551.664780        0.0000000000000000     
           5   1001000.0000000000        146639127859.18744        29613374722.624771        0.0000000000000000     
           6   1001000.0000000000        777890279859.23706        13082455878.295027        0.0000000000000000     
           7   1001000.0000000000        1432967499106.2102        9689607474.9585724        0.0000000000000000     
           8   1001000.0000000000        2874991939569.5972        6806793689.2410660        0.0000000000000000     
           9   1001000.0000000000        4499996711291.1699        5435428686.0373459        0.0000000000000000     
           1   2001000.0000000000        558885.99963028170        27823.135708175974        0.0000000000000000     
           2   2001000.0000000000        222804925831.99066        47665849860.738518        0.0000000000000000     
           3   2001000.0000000000       -5325239462.1762562        56370880202.614578        0.0000000000000000     
           4   2001000.0000000000        86010512922.642899        65217483497.911743        0.0000000000000000     
           5   2001000.0000000000        137885182329.87128        58027838232.379578        0.0000000000000000     
           6   2001000.0000000000        777561369997.57568        26148157241.432285        0.0000000000000000     
           7   2001000.0000000000        1432870063028.2280        19369099803.459530        0.0000000000000000     
           8   2001000.0000000000        2874967774454.5337        13606749514.006056        0.0000000000000000     
           9   2001000.0000000000        4499986851749.9551        10865419488.311432        0.0000000000000000     
           1   3001000.0000000000        1244249.7398866902        89527.193265448674        0.0000000000000000     
           2   3001000.0000000000        216489811885.29388        70818299463.854065        0.0000000000000000     
           3   3001000.0000000000       -45886699638.221268        31849975544.626106        0.0000000000000000     
           4   3001000.0000000000        60666522471.864540        89189428800.537964        0.0000000000000000     
           5   3001000.0000000000        123681766894.49417        84150095835.180496        0.0000000000000000     
           6   3001000.0000000000        777013363246.60315        39206490612.791672        0.0000000000000000     
           7   3001000.0000000000        1432707696436.7542        29047721853.733967        0.0000000000000000     
           8   3001000.0000000000        2874927504789.1475        20406629609.833229        0.0000000000000000     
           9   3001000.0000000000        4499970421388.3623        16295394523.044407        0.0000000000000000     
           1   4001000.0000000000        2183726.0357865700        199025.04205293604        0.0000000000000000     
           2   4001000.0000000000        207745394520.01355        93176165866.405716        0.0000000000000000     
           3   4001000.0000000000       -53700596705.148956       -15276922938.337950        0.0000000000000000     
           4   4001000.0000000000        28960421552.903019        103811254653.74983        0.0000000000000000     
           5   4001000.0000000000        104589635500.65646        106947374370.65234        0.0000000000000000     
